group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,utility,failed_excess,anchor_shortfall,rank_delta_excess,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
v017,v017,0.14,0.13980507850646973,0.113314189016819,0.1076805591583252,0.14841677248477936,0.113314189016819,0.1279003031551838,0.1279003031551838,0.0,0.0,0.0,0.9972670629940447,0.9236968201188877,0.015700507909059525
conservative,v016+v017+v031+v032,0.1,0.1385749876499176,0.11321122944355011,0.10872361809015274,0.15033861994743347,0.11321122944355011,0.12766451798379422,0.12766451798379422,0.0,0.0,0.0,0.9987393316772089,0.9235149424579602,0.010926627553999424
v017,v017,0.12,0.139371857047081,0.113002248108387,0.10767196863889694,0.14847798645496368,0.113002248108387,0.12761660404503347,0.12761660404503347,0.0,0.0,0.0,0.9980040530848204,0.9217511200078172,0.013439985923469067
v017,v017,0.16,0.14020688831806183,0.11361830681562424,0.10768407583236694,0.14835050702095032,0.11361830681562424,0.12816625386476518,0.12750676059530971,0.0005495777245462241,0.0,0.0,0.9964092293979975,0.9255495777245463,0.017967091873288155
v017,v017,0.1,0.13890717923641205,0.11268256604671478,0.10765814036130905,0.14853402972221375,0.11268256604671478,0.1273151244968176,0.1273151244968176,0.0,0.0,0.0,0.9986222287574169,0.9197144786056207,0.011185094714164734
conservative,v016+v017+v031+v032,0.08,0.13813984394073486,0.11277326941490173,0.10849029570817947,0.1500278115272522,0.11277326941490173,0.12727123610675337,0.12727123610675337,0.0,0.0,0.0,0.9991995119992053,0.9205916150024461,0.008721277117729187
v017,v017,0.08,0.13841168582439423,0.11235503107309341,0.10763899236917496,0.14858481287956238,0.11235503107309341,0.1269960980862379,0.1269960980862379,0.0,0.0,0.0,0.9991235085056205,0.9175890006192758,0.008936325088143349
conservative,v016+v017+v031+v032,0.06,0.13767701387405396,0.11232981830835342,0.10825198888778687,0.14971187710762024,0.11232981830835342,0.12686258777976037,0.12686258777976037,0.0,0.0,0.0,0.9995532414722181,0.9175999209842516,0.0065260943956673145
v017,v017,0.06,0.13788537681102753,0.11201972514390945,0.10761440545320511,0.14863018691539764,0.11201972514390945,0.12665951661765576,0.12665951661765576,0.0,0.0,0.0,0.9995099443133794,0.9153763883921199,0.006693306379020214
conservative,v016+v017+v031+v032,0.05,0.13743528723716736,0.11210605502128601,0.10813097655773163,0.14955195784568787,0.11210605502128601,0.12665253803133963,0.12665253803133963,0.0,0.0,0.0,0.9996909524684588,0.9160790700941802,0.005432432051748037
balanced_no_v032,v016+v017+v021+v023,0.16,0.1375623196363449,0.11217480897903442,0.10786972939968109,0.14785586297512054,0.11217480897903442,0.12652153223752977,0.12652153223752977,0.0,0.0,0.0,0.9987580869028182,0.9122533907865442,0.010948368348181248
v017,v017,0.05,0.13761085271835327,0.11184914410114288,0.10760004818439484,0.1486508548259735,0.11184914410114288,0.1264847196638584,0.1264847196638584,0.0,0.0,0.0,0.9996607062369616,0.9142380232544551,0.005574189592152834
