group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
v032,v032,0.21,0.13930745422840118,0.1100226640701294,0.10094209760427475,0.14606864750385284,0.1100226640701294,0.12544333301484584,0.9915148731926076,0.9481631912947541,0.028319964185357094
v032,v032,0.2,0.13908915221691132,0.10970871150493622,0.10068154335021973,0.1457444429397583,0.10970871150493622,0.12517940774559974,0.9923334725870396,0.946547330896326,0.02694554254412651
safe,v016+v017+v031+v032,0.21,0.13891860842704773,0.10973341763019562,0.10074013471603394,0.14466316998004913,0.10973341763019562,0.12501073628664017,0.9941914192276431,0.9382773817668572,0.023246604949235916
safe,v016+v017+v031+v032,0.2,0.1387050896883011,0.10942438989877701,0.10048191249370575,0.14439210295677185,0.10942438989877701,0.12475610449910164,0.9947523167769272,0.9370334598030827,0.022113118320703506
v032,v032,0.18,0.13861814141273499,0.10907136648893356,0.10015172511339188,0.14508511126041412,0.10907136648893356,0.12463084347546102,0.9938383075842965,0.9432213862342234,0.024204257875680923
v016,v016,0.21,0.13778400421142578,0.1105150505900383,0.10144481807947159,0.141789510846138,0.1105150505900383,0.12455299086868762,0.9890500607396013,0.9297168679596274,0.0327606126666069
v016,v016,0.2,0.13765652477741241,0.11018583178520203,0.10116732120513916,0.1416657418012619,0.11018583178520203,0.12434285804629328,0.9901173827977178,0.9291079927940461,0.03115915134549141
v017,v017,0.21,0.13965889811515808,0.10865723341703415,0.09866379201412201,0.14088162779808044,0.10865723341703415,0.12433140575885773,0.9937242398297024,0.9297611305418736,0.023657480254769325
safe,v016+v017+v031+v032,0.18,0.13824795186519623,0.10879926383495331,0.09995871037244797,0.14384301006793976,0.10879926383495331,0.12422946505248547,0.995783041382852,0.9344843979531173,0.019854336977005005
v017,v017,0.2,0.13942018151283264,0.10840705037117004,0.09850853681564331,0.14079239964485168,0.10840705037117004,0.12411671727895736,0.9943238485607625,0.9289679701525296,0.02251678891479969
v016,v016,0.18,0.1373613476753235,0.10951485484838486,0.1006012111902237,0.14140857756137848,0.10951485484838486,0.12389810234308245,0.9920747679304421,0.9277529512937164,0.027968624606728554
v032,v032,0.15,0.1378260850906372,0.10809145867824554,0.09933489561080933,0.1440686732530594,0.10809145867824554,0.12375627756118775,0.995771548600566,0.9380030844872734,0.02011086605489254
v017,v017,0.18,0.13890956342220306,0.10789766907691956,0.09819023311138153,0.14060679078102112,0.10789766907691956,0.1236678183078766,0.9954287706005176,0.9273073885321522,0.020239202305674553
safe,v016+v017+v031+v032,0.15,0.13748596608638763,0.10784417390823364,0.0991569310426712,0.14300192892551422,0.10784417390823364,0.12339566946029663,0.9971064690166962,0.9305116625697796,0.01648605242371559
v016,v016,0.15,0.13681842386722565,0.10847727954387665,0.09972423315048218,0.14099827408790588,0.10847727954387665,0.12316993698477746,0.9945788362588236,0.9253891554017538,0.023213867098093033
v017,v017,0.15,0.13806091248989105,0.10711070895195007,0.09769316017627716,0.14031033217906952,0.10711070895195007,0.12294563055038453,0.9968533900323032,0.9246348058884917,0.016833052039146423
v032,v032,0.12,0.13693104684352875,0.10708295553922653,0.0984911322593689,0.1430189311504364,0.10708295553922653,0.12281942069530487,0.9973261184134019,0.9325226956159938,0.016040530055761337
safe,v016+v017+v031+v032,0.12,0.1366332769393921,0.10686839371919632,0.09833469241857529,0.1421400010585785,0.10686839371919632,0.1225096967071295,0.9981701704108185,0.9263681160074282,0.01314233522862196
v016,v016,0.12,0.13615566492080688,0.10740324854850769,0.09881386160850525,0.14055795967578888,0.10740324854850769,0.12236889898777009,0.9965823865922724,0.9226459240342608,0.01849694550037384
v017,v017,0.12,0.1371128261089325,0.10629624128341675,0.09717211872339249,0.13999156653881073,0.10629624128341675,0.1221646185964346,0.9980040530848204,0.9217511200078172,0.013439985923469067
v032,v032,0.1,0.13627757132053375,0.1063946783542633,0.0979134812951088,0.14230048656463623,0.1063946783542633,0.12216038145124913,0.9981579422658478,0.9287308126974164,0.013340508565306664
safe,v016+v017+v031+v032,0.1,0.13601486384868622,0.10620640218257904,0.09777511656284332,0.14155371487140656,0.10620640218257904,0.12189024835824969,0.9987393316772089,0.9235149424579602,0.010926627553999424
v016,v016,0.1,0.135647714138031,0.10666743665933609,0.0981883630156517,0.1402473747730255,0.10666743665933609,0.12179469428956509,0.9976501841236095,0.9206160904502962,0.01537360530346632
v017,v017,0.1,0.13642564415931702,0.10573798418045044,0.09681118279695511,0.13976643979549408,0.10573798418045044,0.12161125652492047,0.9986222287574169,0.9197144786056207,0.011185094714164734
v032,v032,0.08,0.135578915476799,0.10569366067647934,0.09732354432344437,0.14156711101531982,0.10569366067647934,0.121473852917552,0.9988304960898478,0.9248321421269801,0.01065104827284813
safe,v016+v017+v031+v032,0.08,0.13535727560520172,0.10553545504808426,0.09720635414123535,0.14095813035964966,0.10553545504808426,0.12124817669391633,0.9991995119992053,0.9205916150024461,0.008721277117729187
v016,v016,0.08,0.13508768379688263,0.1059160828590393,0.09754800796508789,0.13992294669151306,0.1059160828590393,0.12118877843022348,0.998510914432445,0.9184311070451219,0.012267048470675945
v017,v017,0.08,0.13569483160972595,0.105167455971241,0.09643924981355667,0.1395309865474701,0.105167455971241,0.12103189714252949,0.9991235085056205,0.9175890006192758,0.008936325088143349
v032,v032,0.05,0.13444750010967255,0.1046183630824089,0.0964154303073883,0.14043880999088287,0.1046183630824089,0.12039307951927186,0.9995485218015736,0.9187921165546382,0.0066377632319927216
safe,v016+v017+v031+v032,0.05,0.13429801166057587,0.10451220721006393,0.09633595496416092,0.14004731178283691,0.10451220721006393,0.12024289183318614,0.9996909524684588,0.9160790700941802,0.005432432051748037
v016,v016,0.05,0.13415175676345825,0.1047608032822609,0.09655974060297012,0.1394098997116089,0.1047608032822609,0.12022148258984089,0.9994267245069753,0.9148743052579011,0.007638103328645229
v017,v017,0.05,0.134517639875412,0.10428868979215622,0.09586045891046524,0.13915812969207764,0.10428868979215622,0.12011442668735982,0.9996607062369616,0.9142380232544551,0.005574189592152834
