candidate,utility,composite,spearman_to_anchor,max_spearman_to_failed,mean_spearman_to_failed,rank_delta_to_anchor,full,tail20,tail10,tail5,w_v016,w_v017,w_v021,w_v023,w_v025,spearman_to_sub_calibrated_tail_cli_,spearman_to_sub_anchor_blend_utility
016_017_021_025,0.13053539980348075,0.1266497198488531,0.9301793460259689,0.9530366635512074,0.9312565903820638,0.0803974862487252,0.13636900992285877,0.11574477533430877,0.10884400783331372,0.14233631608276953,0.25,0.25,0.25,0.0,0.25,0.9094765172129201,0.9530366635512074
016_017_021,0.13037763371974193,0.12867600938121304,0.9110029431893039,0.9394232171926873,0.9223784778330203,0.09000391078658067,0.13724047159246835,0.11959322724999302,0.110390957974826,0.14481185293380483,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.9053337384733533,0.9394232171926873
safe_mix,0.13021197086807376,0.12658473444230034,0.927959093648552,0.9505438903242809,0.9272587127458742,0.08167507571098741,0.1358149976583079,0.11603637066467783,0.10935075130652301,0.14254461600679982,0.3,0.2,0.3,0.0,0.2,0.9039735351674676,0.9505438903242809
anchor_like_low_failed,0.1298321210230214,0.12550454576912404,0.9520360870544359,0.9664562597669297,0.9288946229818074,0.06719637834474596,0.13586758930500084,0.11354264606845113,0.10768497567283342,0.1414859041041331,0.2,0.2,0.4,0.1,0.1,0.8913329861966849,0.9664562597669297
with_023,0.12936138316395535,0.12509343587302463,0.9481011222660243,0.9638530662793375,0.9294439196868345,0.06980112745989762,0.1359228768282581,0.1130723980574308,0.10666266572294934,0.14007022024636823,0.2,0.2,0.2,0.2,0.2,0.8950347730943314,0.9638530662793375
heavy_021,0.128558465208218,0.12413527795319694,0.9561014798329557,0.9680121513044125,0.9284275689933768,0.0645566013184715,0.13381273247041492,0.11206091265215089,0.10775942474987099,0.14137360833384305,0.16666666666666666,0.16666666666666666,0.5,0.0,0.16666666666666666,0.8888429866823409,0.9680121513044125
017_021_025,0.12835251490426378,0.1239434065624355,0.9593564688958771,0.9722789356509148,0.9379795795176615,0.061897454057511646,0.13512496633613377,0.1107645440216232,0.10576714880155638,0.14042736184454885,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.9036802233844082,0.9722789356509148
heavy_025,0.12718938264118598,0.12300995856797378,0.9384287707447392,0.9555194300951227,0.9294050820774991,0.07590858400450012,0.1325650091951773,0.1112872945467782,0.106844341122753,0.13942864897697577,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5,0.9032907340598755,0.9555194300951227
016_017_025,0.12671348987731737,0.12745734422080374,0.8887974876007625,0.9220585749677321,0.9183697979571164,0.1009500458024055,0.13577041424986808,0.11881151128365057,0.10953965143705441,0.14286256707709777,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.9146810209465007,0.9220585749677321
016_021_025,0.12665281103930823,0.12262426672637187,0.9302587134348939,0.9463779591170872,0.9152872505517102,0.08069585941886154,0.13058461985394196,0.11209203292075277,0.10832713800282179,0.13984507215448883,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.8841965419863331,0.9463779591170872
heavy_016,0.12544003374852603,0.12707862813543017,0.8790866644231048,0.9115049438204049,0.9030856406074523,0.10530739663550326,0.13372839224869157,0.11959535392391792,0.11112156681622581,0.143540104239097,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.8946663373944999,0.9115049438204049
v017,0.12211136250996718,0.12589865806866807,0.8527637305886144,0.9033091111812837,0.897604161622015,0.11267376396931933,0.13330342983407248,0.12001532376867378,0.10454145121400667,0.14226299830632325,0.0,1.0,0.0,0.0,0.0,0.9033091111812837,0.8918992120627464
v021,0.1200949139496647,0.11503035706232449,0.96140063719594,0.9528155138172566,0.8832862986633581,0.06024797170709053,0.12129976344141337,0.1032151389761172,0.10440921897478485,0.1381953897463558,0.0,0.0,1.0,0.0,0.0,0.8137570835094596,0.9528155138172566
v025,0.11622273658552489,0.11206685099658853,0.9266626798039178,0.9327299561227754,0.8996971494884702,0.08147704760258762,0.11841890657846114,0.10097765345946974,0.1015801934917458,0.1324801797467823,0.0,0.0,0.0,0.0,1.0,0.8666643428541652,0.9327299561227754
v016,0.10800507963355106,0.1219608007406959,0.7348997226050402,0.8137820614221684,0.7980723231542963,0.15631874777828095,0.11916113365617677,0.12319693418446262,0.1132659457910852,0.14389318471414772,1.0,0.0,0.0,0.0,0.0,0.8137820614221684,0.7823625848864242
