alpha,full,tail20,tail10,tail5,composite,utility,spearman_to_anchor,rank_delta_to_anchor,max_failed,spearman_to_sub_calibrated_tail_cli_full,spearman_to_sub_anchor_blend_utility_sca,spearman_to_sub_anti_failed_rank_w020_04
0.4,0.13823259834638252,0.11147501157518033,0.1085087891867923,0.15434294128312614,0.13021771219534053,0.1277883176990754,0.9983247616511407,0.011895777079243051,0.9980734862406628,0.9131293900382716,0.995586955248007,0.9980734862406628
0.36,0.1380677523623243,0.11144403627664186,0.10843731707173078,0.15381446675100166,0.1300263993489028,0.12746198654262733,0.9986436696273554,0.010710553549804476,0.9984110320156887,0.9127739630403408,0.9957571093751701,0.9984110320156887
0.32,0.13789260826804353,0.11140868887551028,0.10835953332652315,0.15327842466285085,0.12982735579117402,0.12714137422262997,0.9989289479839117,0.009524042185363431,0.9987149539213601,0.9123885799720719,0.9958937370803389,0.9987149539213601
0.28,0.13770720551143856,0.11136895401512471,0.10827540666746768,0.152734938874489,0.12962061306294487,0.1268265761850626,0.9991804471238386,0.008336662176965973,0.9989850921947057,0.9119733873379301,0.9959967977888119,0.9989850921947057
0.24,0.137511590407208,0.11132481781085761,0.10818490884684887,0.15218413626792093,0.12940620692728885,0.1265175930866603,0.9993982468480844,0.007148387485735009,0.9992215346015714,0.9115281256251945,0.9960663118738642,0.9992215346015714
0.2,0.13730581607967896,0.11127626786881537,0.10808801471236087,0.15162614662170837,0.1291841773355776,0.12621444773481633,0.9995823981160289,0.005959155702618102,0.9994243240019032,0.9110531519552654,0.9961023542127575,0.9994243240019032
0.18,0.13719913765362246,0.11125033428496217,0.10803716202749636,0.15134449797402946,0.1290703173638959,0.1260650786919708,0.9996618586499341,0.005364232394509119,0.9995130966798127,0.9108046895684812,0.9961078671057189,0.9995130966798127
0.15,0.13703440359705663,0.11120935718360203,0.10795786901459928,0.15091875496226181,0.12889598743429534,0.12584377970521676,0.9997653133212347,0.004471458838102384,0.9996305193226964,0.9104179372931115,0.9961004939914685,0.9996305193226964
0.12,0.13686403586916115,0.11116588475236538,0.10787495269954445,0.1504891390104057,0.128717428281184,0.12562580469225348,0.9998498831826891,0.0035780953341783507,0.9997290589723262,0.9100142246417654,0.9960743285413667,0.9997290589723262
0.1,0.1367473428788514,0.11113551522732809,0.10781765901336075,0.1502006054559179,0.12859605021514126,0.12548233940855352,0.9998957921451067,0.0029823116588916774,0.9997842770164693,0.9097358381241154,0.9960465120406762,0.9997842770164693
0.07,0.13656765599427556,0.1110878770018711,0.10772869018092973,0.14976466432309435,0.12841049243530808,0.1252699251783282,0.9999489722051699,0.002088080167076292,0.9998514181424497,0.9093043437111943,0.9959891931732539,0.9998514181424497
0.05,0.13644478140952632,0.11105472785629233,0.10766735674980221,0.14947196871409446,0.12828447064997817,0.1251301815365477,0.9999739751230934,0.0014917302834687083,0.9998857227835761,0.9090075260730532,0.9959406255970913,0.9998857227835761
0.03,0.13631945263087275,0.11102046574690078,0.10760440528567775,0.14917763927938507,0.12815660432396628,0.12499193141815979,0.9999906353659461,0.0008951858834756451,0.9999116822645162,0.9087033411183401,0.9958837590338342,0.9999116822645162
